rent,suburb_encoded,bedroom,bathroom,parking,propertyType_Apartment,propertyType_Block of Units,propertyType_Duplex,propertyType_House,propertyType_Semi-Detached,propertyType_Terrace,propertyType_Townhouse,propertyType_Villa,under 20,20-39,40-59,60+,Owner,Renter,Single,propertyFeatures_encoded,doc2vec_embedding_1,doc2vec_embedding_2,doc2vec_embedding_4,doc2vec_embedding_5,doc2vec_embedding_6,doc2vec_embedding_7,doc2vec_embedding_9,educationIndex,transportIndex,lifeIndex
360.0,373.6111111111111,3.0,1.0,2.0,0,0,0,1,0,0,0,0,26,20,19,35,70,30,40,1.0228678514943454,-0.25445616,-0.8237902,0.13345857,-0.25046477,0.20677158,-0.009354651,0.5462074,3.481088544130544,2.781650022543783,2.59153884144024
650.0,677.651632763842,2.0,1.0,1.0,0,0,0,1,0,0,0,0,14,49,25,12,35,65,59,1.33026327500619,-0.47544605,-0.60929906,-0.2944052,0.6013543,0.6770114,0.4338535,0.22819024,3.812431618160932,4.2481831139064745,3.894976100176939
495.0,496.3333333333333,3.0,1.0,2.0,0,0,0,1,0,0,0,0,25,28,27,20,78,22,39,1.164859695707149,0.4572928,0.6731594,-0.17052028,0.36795914,0.11567721,-0.79110754,-0.14028896,3.58514540391998,2.7561672578428555,3.1330745048952844
370.0,436.6262630528256,3.0,1.0,1.0,0,0,0,1,0,0,0,0,13,22,20,45,59,41,59,1.2253856389807858,0.25460196,-0.41844356,0.024570093,-0.017443433,0.08461377,0.07050538,0.31533706,3.4203714299989425,2.772297520669553,2.5633291672143894
360.0,373.6111111111111,3.0,1.0,1.0,0,0,0,1,0,0,0,0,23,21,19,37,75,25,51,1.0746592755223467,0.22662807,-0.7375866,0.031512946,0.08334462,0.2325907,-0.37358627,0.08059803,3.558543790487267,2.7666893032664164,2.586189236078583
430.0,474.1562176988901,4.0,2.0,2.0,0,0,0,1,0,0,0,0,36,25,32,7,91,9,21,1.5709775125855618,0.895548,-0.94081604,-0.023958415,0.57956624,0.35093185,-0.49160126,0.18262327,1.1525494194646708,2.8816058317264206,3.681233119548117
530.0,536.2850391584766,3.0,1.0,3.0,0,0,0,1,0,0,0,0,26,33,24,17,52,48,52,0.432571846170921,0.66730344,0.2551018,0.11479841,-0.5828509,0.32082376,0.16925745,-0.23260191,3.5575916420111664,2.914769790507322,3.850183405439156
320.0,434.5940728190728,2.0,1.0,1.0,0,0,0,1,0,0,0,0,27,24,22,27,67,33,48,0.3052415481101896,0.4462037,-0.1521529,0.22468206,-0.1971495,0.016150326,-0.29604962,-0.22838508,3.6713385343588505,2.7824108115006734,2.7345177461673504
480.0,434.5940728190728,4.0,2.0,2.0,0,0,0,1,0,0,0,0,29,39,23,9,58,42,41,1.4366425335178397,0.26607895,-0.76597893,0.31848347,0.11512609,0.17454544,-0.501737,0.24758652,3.3255739038616445,2.958970199117372,2.7631093103754
601.0202088452088,633.568013923014,4.0,3.0,2.0,0,0,0,1,0,0,0,0,21,40,23,15,51,49,52,1.6669574271827408,0.1752342,-0.80040514,0.4728142,-0.80254644,-0.8797549,-0.2197195,-0.11064831,4.015603837623269,4.490299018307971,3.885890798967977
460.0,474.1562176988901,4.0,2.0,2.0,0,0,0,1,0,0,0,0,36,25,32,7,91,9,21,1.7905706249607476,0.89482427,-0.8288888,0.11198245,0.51912457,0.39497325,-0.51548827,0.14264897,1.1497414394975776,2.8890806852239885,3.4264362844315555
580.0,637.1428571428571,1.0,1.0,1.0,0,0,0,1,0,0,0,0,16,46,27,12,55,45,43,1.073324320410228,0.98039174,-1.1927925,-0.6909301,0.4496122,0.4317673,-0.26850393,-0.0056181103,3.661924941072233,3.2819468329742736,3.433743118624285
